epsilon, input_length, convoluter, average_time
0.1, 500, FFT, 29834935355
0.1, 550, FFT, 28326580820
0.1, 600, FFT, 32809430091
0.1, 650, FFT, 31780459497
0.1, 700, FFT, 37950234916
0.1, 750, FFT, 47212684368
0.1, 800, FFT, 50238462909
0.1, 850, FFT, 56504170397
0.1, 900, FFT, 63356433146
0.1, 950, FFT, 67474217212
0.1, 1000, FFT, 73210689066
0.1, 1050, FFT, 74476560794
0.1, 1100, FFT, 77107929266
0.1, 1150, FFT, 82316659330
0.1, 1200, FFT, 81431501225
0.1, 1250, FFT, 77847492511
0.1, 1300, FFT, 77066468146
0.1, 1350, FFT, 87646720473
0.1, 1400, FFT, 89276693627
0.1, 1450, FFT, 104650131786
0.1, 1500, FFT, 97143810198
0.1, 1550, FFT, 113013590056
0.1, 1600, FFT, 99576608226
0.1, 1650, FFT, 129354659667
0.1, 1700, FFT, 132722435188
0.1, 1750, FFT, 134567288884
0.1, 1800, FFT, 95944411250
0.1, 1850, FFT, 139015575769
0.1, 1900, FFT, 151160231461
0.1, 1950, FFT, 150683894007
0.1, 2000, FFT, 148743129297

